,FP1,CZ,FZ,C3,C4,F3,O1,O2,Perception
0,0.4997885465750273,0.5065556259688889,0.4265222605693215,0.5492865046877111,0.5601977006415473,0.25871001403004434,0.7938679063232358,0.4582794833002944,0.0
0,0.4884003366596391,0.49586481902504576,0.46844636351921387,0.5415518631759846,0.5546864243623233,0.27715184313270114,0.7981611855448586,0.49639121790704877,0.0
0,0.4713651824451658,0.4762606001457454,0.4926768817450111,0.5250422841331718,0.5413942261804913,0.2833497609728459,0.7863060225879205,0.5218362952996284,0.0
0,0.4655648684697573,0.46888406508696695,0.49676205114555794,0.5189881523034601,0.5367700919984725,0.2830802545634541,0.7828577342644059,0.5274188052783833,0.0
0,0.4505311315954229,0.449198430283513,0.49942521431696185,0.5014340611367271,0.5259745906383055,0.27729004474242885,0.7737745549011599,0.5362641623692352,0.0
0,0.43680746736985987,0.4298972858975581,0.48802282838881683,0.48129367584927535,0.5205890920585641,0.2646037684316352,0.7617026816225343,0.5310502323177905,0.0
0,0.42697921549941736,0.4148920475137802,0.47576397067118115,0.4647177902311404,0.5178612192942851,0.2522014155835291,0.7509767603263519,0.5174272144040418,0.0
0,0.42110498258894613,0.4024754991171476,0.46490007711551334,0.45097745185995686,0.5183290277143879,0.24012533539488337,0.741686182302679,0.5023323076042377,0.0
0,0.41628829712059306,0.3873409491534399,0.45280788395404514,0.43376112652718624,0.5217926084622817,0.22335003509328188,0.7257535156693946,0.4751343363537194,0.0
0,0.4156910218634219,0.38134860293649614,0.44888877583704706,0.4257713997201907,0.5262398901177667,0.2137632117732992,0.7160593042053862,0.455379119377513,0.0
0,0.4169314309792773,0.3781261126544215,0.4518919889698159,0.4202799935758886,0.5330730645254635,0.20284676774071866,0.6994794467643194,0.42741816494671897,0.0
0,0.4173860123331692,0.378702431904586,0.46149264313876903,0.4200564536856032,0.5350094748324552,0.19699502104291036,0.6851527790063563,0.4105934538046936,0.0
0,0.4204980168552309,0.38479616766864955,0.48667955798752555,0.42694487550518334,0.5370700460509755,0.1907047346569418,0.6644213195518958,0.39115912060668884,0.0
0,0.42469021496601167,0.3911986220841651,0.5102759217426936,0.4364979009424422,0.5379652661958184,0.1881706723365182,0.6503513508248739,0.3795918090362068,0.0
0,0.4351781274183536,0.404138651649433,0.5517551683471353,0.4578849488710016,0.539876347102275,0.18540336801588106,0.6283112775952139,0.36311241952870427,0.0
0,0.45523748170055695,0.4206209384004209,0.594479565570902,0.4866588201275599,0.5439234580191423,0.18226848321590103,0.6069810872641606,0.34621148466435697,0.0
0,0.4735499125824714,0.4333362600856485,0.6205259475381489,0.5093193779716944,0.548718675776289,0.18017823881621328,0.5930441874004267,0.33561712485892486,0.0
0,0.5047019012622972,0.45477447112186004,0.6498998540292068,0.5437814648433317,0.5603008143947513,0.17660567483636525,0.57823579784729,0.3197228681486275,0.0
0,0.5230753528967872,0.4645254695916747,0.6536126260896409,0.5601403821665816,0.5640441749449062,0.17202373487171432,0.5672494197119087,0.306491414190054,0.0
0,0.5309299630745475,0.46788133456715986,0.6519664482322423,0.5662887595085578,0.5651130859488624,0.16962908886456454,0.5624402650323886,0.30104084204000203,0.0
0,0.5415570306153612,0.46951762584825946,0.6373272615697856,0.5716025252965838,0.5632305705073813,0.16369575029927227,0.5524249182514125,0.29062676175934127,0.0
0,0.5493680697107661,0.46494000458528073,0.6014662434049493,0.5685487059274857,0.5563850632291877,0.15549446963926933,0.5434336030925551,0.2785771056953465,0.0
0,0.5477111987547266,0.456488100218304,0.5660809918638215,0.557291836884248,0.5475083228406471,0.15028908326572493,0.5406617074407398,0.2725489160829376,0.0
0,0.5394623730383981,0.44129798255017255,0.5059343098046265,0.532455695675757,0.5317405024489092,0.14444406344675104,0.5424504242409065,0.27060569534464646,0.0
0,0.5295107130071107,0.42932233981504775,0.4627295846828889,0.5103672909090297,0.5183654281132182,0.14161986960993808,0.5471682955305547,0.2707692729438718,0.0
0,0.5130057774965854,0.4113468154164062,0.4012239141643222,0.47578495514718055,0.4997477734268147,0.14019076136650574,0.5624780930675127,0.27147383288421845,0.0
0,0.4984895588392452,0.39480679500987226,0.34905131960447533,0.44752932296863734,0.4834990284378587,0.14302500324939973,0.5857209040441855,0.2746123565686622,0.0
0,0.4903570905662506,0.3858844913278668,0.32012598144006615,0.43382148488159716,0.4748572089055835,0.14661982455550718,0.603891059569871,0.27777787306941754,0.0
