,FP1,CZ,FZ,C3,C4,F3,O1,O2,Perception
0,0.9500241184867226,0.8966509848441502,0.9401884330793879,0.9483442640994443,1.0447404802006335,1.0082413070545528,1.3856419957747679,1.1157629415172807,0.0
0,0.922663784988415,0.8663040809867381,0.9247897747894078,0.9102742080521616,1.0334188127164974,0.9783913799967563,1.3995171036425773,1.1172817146425607,0.0
0,0.9148888796287049,0.8511127027871755,0.9188174516814387,0.8888733755503884,1.033624267869912,0.9703268858325128,1.4031281046035726,1.1185753021804323,0.0
0,0.9166011386156624,0.8385215992358315,0.9174021723483717,0.8682884785727782,1.0447712329082093,0.9741727297705612,1.4044916889281984,1.1263784968012143,0.0
0,0.9256928955558444,0.837133064710367,0.9219149459980189,0.8611806726083678,1.0585997393776034,0.9825072719391922,1.4045686902374208,1.1327103947859831,0.0
0,0.9487574636774744,0.8454918150004151,0.9373556263777936,0.8600184249126106,1.0879761311712206,1.002118264921081,1.4053104155901992,1.144717665224695,0.0
0,0.9810352502772666,0.8632827421123319,0.9569512418943599,0.8720081902733952,1.1243238649408351,1.0308060105763241,1.402925944324431,1.1584914144960359,0.0
0,0.9942199911228506,0.8719474131427847,0.9641555343480784,0.8792152449766334,1.1379997407775349,1.0425779747110784,1.4008800125233292,1.1637296530947843,0.0
0,1.042198342085836,0.9065743494079788,0.9934490663820456,0.90981826221301,1.1868932581102767,1.0876368247918957,1.3973549674553607,1.1840020346103597,0.0
0,1.0827494233791448,0.9376900101314714,1.0207482034694622,0.9385749272315564,1.226215790859333,1.1258949612849043,1.399284818521935,1.2024892311441342,0.0
0,1.1545466656163796,0.9942185930785945,1.0676435759604344,0.9925524153045994,1.2904692515019132,1.1920786377390726,1.4119009104331632,1.2373712939178767,0.0
0,1.2343223584306864,1.0586764434098945,1.1192959263386282,1.0542950944473355,1.3565960706517424,1.2591150363675998,1.4403125552635812,1.2774045520839226,0.0
