,FP1,CZ,FZ,C3,C4,F3,O1,O2,Perception
0,1.8367066681551634,0.25129125746239905,0.29382848379169546,0.7910360857375845,0.25261784772955703,0.6307731092408349,0.3110253977963383,0.28960250408351773,0.0
0,1.1153958958298884,0.22578980758692077,0.24045566160980958,0.7333904356506887,0.18549796568040583,0.7203495338922034,0.2902921492179971,0.28621472438668805,0.0
0,0.8062103898426964,0.21810394735426605,0.21818709603007597,0.6906824477750434,0.1573207064121084,0.8036167808985407,0.2774480409177997,0.2851410969621323,0.0
0,0.5021396274764948,0.21555115485772128,0.19919636616388145,0.6284637316494245,0.13016578951487817,0.9466782260068625,0.26209855264094856,0.28578802147872473,0.0
0,0.40247346253098587,0.21981593210913414,0.1958487637438545,0.5883077334838651,0.1242512539424684,1.0489764306470537,0.2539599303643093,0.28668420575569203,0.0
0,0.3263235255401475,0.23106547906416894,0.19700761507173875,0.5279819506112149,0.12455901149387744,1.2014412157412167,0.24394646467875333,0.2861994849866488,0.0
0,0.29728012000457965,0.23961599389715849,0.19893493458068814,0.49370765134696426,0.1267054317332059,1.2911212908028196,0.2393286083200917,0.28512925650099347,0.0
0,0.27617115307501033,0.24879443739611587,0.20063556929548754,0.4626408095139793,0.1287611650054732,1.3613121229605132,0.23546600859394545,0.2822273901109688,0.0
0,0.2541087808637879,0.2614842616240181,0.20235472432710425,0.4249243585844476,0.13127667659483586,1.417902471085767,0.23230704940163846,0.27827255661225947,0.0
0,0.2418996843173246,0.2681350159510906,0.20132087522733014,0.4088414287935027,0.1318254451966725,1.414932938315507,0.23128174119071904,0.2755135727620155,0.0
0,0.23024626180645913,0.27303100296529653,0.19861141104221658,0.39611915969526423,0.13102990522748242,1.3802417264676514,0.23214678115540427,0.2722489265041343,0.0
0,0.21299902367735754,0.27673442613938953,0.19215756362559805,0.38228709921317344,0.12756509029695376,1.2879434958175013,0.2355639545048899,0.26794778429924415,0.0
0,0.20063329843659397,0.2761856061528435,0.18607519295754196,0.37674075121506795,0.12392236663066783,1.2088618541475191,0.23808442923226936,0.2664860813470619,0.0
0,0.18163077495793473,0.2706980786894821,0.1748716072486173,0.37420293375086244,0.1172483037957407,1.090784425813579,0.24159792345959405,0.26461475056563677,0.0
0,0.16763856809273536,0.2619894477749726,0.16460566702447982,0.37696097531593986,0.1112050890241158,1.0162486303528466,0.24218766847482345,0.26105268455024905,0.0
0,0.15367729755913997,0.24975358333270123,0.1527488960001267,0.38298165099908754,0.10465139482646697,0.9454059785029814,0.2409589828184498,0.2546600535968522,0.0
0,0.14658336023484406,0.2417821407822087,0.1459604091386629,0.38709091421458136,0.10114037395458154,0.908263959106398,0.23908682923995406,0.24954810376345335,0.0
0,0.1323124192673063,0.22202705117870203,0.13054450254465502,0.39596607352285085,0.0935584380911539,0.8250629244916077,0.23233407719994079,0.23465982266012642,0.0
0,0.12592206232819858,0.21204829220929458,0.12405813601732399,0.4011016510487921,0.0897891375904103,0.7821961311584807,0.22929303731068287,0.22675328948923523,0.0
0,0.11940554264633062,0.20181382996869118,0.11927376809223375,0.4057209039611842,0.08567377358902996,0.7416666092176478,0.2262825195960801,0.21831482555042436,0.0
0,0.11360474489335579,0.19172259415313508,0.11602808659421134,0.4104565665158291,0.08165188714137431,0.7059188591906012,0.22325323997118937,0.21042314143011545,0.0
0,0.10395007019405476,0.17358258017351866,0.11222153280465083,0.4205734813800885,0.0746235781513439,0.6497717442272247,0.21593995230191368,0.1959678356648715,0.0
0,0.10053467931464996,0.1670293952973346,0.11128903466835645,0.4253962820532477,0.07242265418896128,0.6298281287457277,0.21287197670368727,0.19028494869946938,0.0
0,0.09654871566269706,0.1578020742995722,0.11049314269942531,0.43410784985318424,0.0701880117060451,0.6052002859993676,0.2075014731391484,0.18135415064745264,0.0
0,0.0961134835735558,0.15345274811769596,0.11075022340640246,0.4402458969679258,0.06998200044270715,0.595051666681936,0.20221963472248752,0.17424461861552484,0.0
0,0.09839745468060976,0.15222521558173405,0.11171048327043984,0.44584601703737026,0.07138416701140837,0.5954086716186169,0.19817792068553688,0.16975073582996314,0.0
0,0.10554798884506753,0.15395744077131632,0.11413226818385742,0.4556203092569835,0.07642570941740494,0.6106916711357616,0.19345033932269048,0.16787502166978135,0.0
0,0.112796971325572,0.1567590370660128,0.11635976127477768,0.4623427110749311,0.08200282884326004,0.630879141307737,0.19135802737268737,0.1693065144959619,0.0
0,0.12212626290134172,0.16061168468982195,0.11880792604784587,0.4692810570714702,0.08966653584498138,0.6560120350740293,0.18989846611271077,0.1723811813744638,0.0
0,0.14047913447003152,0.16723022933953444,0.12195607407743944,0.47431565564899647,0.10564759126189924,0.7072785185501175,0.18811769968125475,0.18024438806412268,0.0
0,0.14759145729766732,0.1695281432807698,0.1230443054137284,0.4745954411769827,0.1121223111739072,0.7267846467834118,0.18817337344732893,0.1835980896496742,0.0
0,0.17095586198390955,0.1755039225328414,0.12677790586815046,0.4716311081496165,0.13415463877994693,0.7861158659643597,0.18956645395382124,0.195372965358937,0.0
0,0.18799959682428125,0.1783925522989445,0.12882836602973835,0.4653818374905736,0.15046074471201137,0.8225754458792969,0.19078751366728608,0.20440471695666543,0.0
0,0.20492726987298432,0.17958441711812687,0.12976421566673038,0.455618745222749,0.16706147067724475,0.8507062679790012,0.19156707222120747,0.21408955781920203,0.0
0,0.21936252659632824,0.17932144749771103,0.12989415088278994,0.4435737551180329,0.1820090146042105,0.8628652212241541,0.19199496818822587,0.2225515488937738,0.0
0,0.22615301920548458,0.17955625062521666,0.13026026074395763,0.4402461733264504,0.18901436867773713,0.866836039311598,0.19316142237077252,0.22669378040961707,0.0
0,0.23987256885900343,0.18012840029181473,0.1311756111611092,0.43120023935480506,0.2039226360889006,0.8533764688366523,0.19833651495283405,0.236292437501955,0.0
0,0.24387499844398114,0.18215543818560556,0.13193036472180256,0.4379590880145796,0.20833875266962523,0.8279757171016918,0.2036343392665613,0.24105890366343094,0.0
0,0.24198769495434325,0.18569181117452502,0.13237077837346028,0.4544188284609949,0.20674687215111015,0.7866922755169423,0.20984865845840237,0.24413147568925841,0.0
0,0.23169698757870694,0.19479406540401845,0.13252321644584192,0.48590991180555815,0.19588056252614208,0.7083981856959555,0.21942241025925546,0.2478408311865903,0.0
0,0.22125944071660436,0.20358887685809174,0.13212998826758923,0.5106455832757935,0.18340696340320334,0.645875190502024,0.2250295815669475,0.24916289257279337,0.0
0,0.20799703229231287,0.2141613074802073,0.1312470323618387,0.5382246562568398,0.16800828682441274,0.5799142866641391,0.22958850997640354,0.24954467260318505,0.0
0,0.18744545850021205,0.2315637789345165,0.12965406896351767,0.5835257883447558,0.14528448192419052,0.4875414874875592,0.2345843267069376,0.24984245776075545,0.0
0,0.16763511412132748,0.24976250175132492,0.1277955023427087,0.6336617714007367,0.12427343343047036,0.4047642433172514,0.23597126069136887,0.24850244853017112,0.0
0,0.15672346519344083,0.26134223057432515,0.1272574634265874,0.6696759463200748,0.11357904406625004,0.3615363294794238,0.23495485626477,0.24698222285401575,0.0
0,0.14358903510343676,0.2766499984146267,0.12708091276101505,0.7239001566574889,0.10237906333874855,0.3158038736870441,0.2320192740325422,0.24352235964796937,0.0
0,0.13560592726642565,0.2842539075759201,0.12636885246141824,0.7561026835231024,0.09708693073040543,0.2912278320497052,0.2279365290462514,0.23958775083080783,0.0
0,0.12812567403384972,0.2889746099751767,0.12469778401809997,0.7796333785088012,0.09299608944530106,0.27011179425983717,0.2218690334348476,0.23425639422106784,0.0
0,0.11890848649284924,0.2914007411595588,0.12124216944072023,0.7970276213371956,0.08936361567895984,0.24755378691895716,0.21514248282533646,0.22684022811528906,0.0
0,0.11425697296628771,0.28935424873203325,0.11834386030289018,0.7945881270496985,0.0884579615708466,0.2376808244925482,0.21120231501560047,0.22205798105720573,0.0
0,0.1101636760769623,0.28370915538870883,0.11482086056241524,0.7794124014470519,0.08808664001742977,0.22982384966130145,0.20737855656151347,0.21747496796432772,0.0
0,0.10666897004485001,0.2696379459474973,0.11021823835089846,0.7387502802915994,0.08942953839118727,0.22124552561639949,0.20344934997930897,0.21197936827638852,0.0
0,0.10686969243565392,0.25227198525867683,0.1072024882056301,0.6850802117960466,0.09289426293076991,0.2180993504913763,0.2008706391486749,0.20704992417087958,0.0
0,0.10901110868817451,0.24060571895239316,0.10616930172406902,0.6476475369016159,0.09590269633301363,0.2176125122703374,0.19941603021262624,0.20514644489400344,0.0
0,0.11325001927809025,0.22780788589001089,0.10601375917183511,0.6116247384490066,0.09993893708698874,0.2182549257493874,0.19828836475010828,0.20382936495386447,0.0
0,0.11916791154126181,0.21722430417627275,0.10643995245241351,0.5829001618355438,0.10491376771154817,0.21983291308690223,0.1978432625009007,0.20340976193193852,0.0
0,0.13862425304082426,0.20028424854230456,0.1089155892428389,0.536480796215878,0.1188379305191461,0.22615425298396893,0.19696418286580847,0.20336101957328792,0.0
0,0.18933138750755882,0.1850916705240471,0.11775699791502345,0.4855524766309518,0.15202385854604775,0.24425210804256678,0.19618865349746523,0.20351361536255996,0.0
